,title,authors,isbn,average_rating,ratings_count,text_reviews_count,best_seller
5340,Postwar: A History Of Europe Since 1945,Tony Judt,143037757,4.34,8017,571,
5341,Potshot,Robert B. Parker/Joe Mantegna,553702467,3.89,2,0,
5342,Power  Faith  And Fantasy: America In The Middle East 1776 To The Present,Michael B. Oren,393058263,3.98,1510,216,
5343,Power  Sex  Suicide: Mitochondria And The Meaning Of Life,Nick Lane,199205647,4.24,2221,151,
5344,Power Of An Hour: Business And Life Mastery In One Hour A Week,Dave Lakhani,471780936,3.34,174,16,
5345,Power Of Silence,Carlos Castañeda,067173248X,4.22,2253,53,
5346,Power Vs. Force,David R. Hawkins,1561709336,4.2,7167,376,
5347,Power: Die 48 Gesetze Der Macht,Robert Greene/Birgit Brandau/Hartmut Schickert,3423362480,4.18,39,4,
5348,Practical Demonkeeping,Christopher Moore,60735422,3.83,37206,1353,
5349,Practical Dv Filmmaking,Russell Evans,240807383,3.46,9,0,
5350,Practical Ethics,Peter Singer,052143971X,4.05,2036,80,
5351,Practical Magic,Alice Hoffman,425190374,3.78,54261,4232,
5352,Practical Philosophy,Immanuel Kant/Mary J. Gregor,521654084,4.1,288,3,
5353,Practicalities,Marguerite Duras/Barbara Bray,802133118,3.98,226,19,
5354,Practice Makes Perfect: Italian Verb Tenses,Paola Nanni-Tate,71451382,4,9,1,
5355,Practice! Practice!: A Latin Via Ovid Workbook,Norma Goldman/Michael  Rossi,814326110,4.08,12,0,
5356,Pragmatic Version Control: Using Subversion,Mike   Mason,977616657,3.58,173,14,
5357,Prayers For Rain,Dennis Lehane,380730367,4.09,16329,619,
5358,Prayers For The Assassin,Robert Ferrigno,141650768X,3.76,791,95,
5359,Praying For Sleep,Jeffery Deaver,451203054,3.8,3061,148,
5360,Predator,Patricia Cornwell,425210278,3.68,23630,842,
5361,Preface To The Phenomenology Of Spirit,Georg Wilhelm Friedrich Hegel/Yirmiyahu Yovel,691120528,4.06,110,16,
5362,Preludes & Nocturnes,Neil Gaiman/Sam Kieth/Mike Dringenberg/Malcolm Jones III/Todd Klein/Karen  Berger,1563892278,4.24,171841,3781,
5363,Premières Histoires,João Guimarães Rosa,2864240157,4.33,0,0,
5364,Prep : A Novel,Curtis Sittenfeld,081297235X,3.38,55304,4450,True
5365,Prepared For The Worst: Selected Essays And Minority Reports,Christopher Hitchens,809078678,4.02,164,7,
5366,President Dad  Volume 2,Ju-Yeon Rhim,1595322353,3.49,73,1,
5367,President Nixon: Alone In The White House,Richard Reeves,743227190,3.96,391,23,
5368,Presidential Assassins,Patricia D. Netzley,1560066237,3.6,5,1,
5369,Presidential Power And The Modern Presidents: The Politics Of Leadership From Roosevelt To Reagan,Richard E. Neustadt,29227968,3.77,293,17,
5370,Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,192840940,3.58,205,24,
5371,Pretties,Scott Westerfeld,689865392,3.85,211060,8890,
5372,Pretty Face  Vol. 1,Yasuhiro Kano,1421513684,3.83,494,40,
5373,Prey,Graham Masterton,843946334,3.83,812,51,
5374,Pride & Prejudice,Jane Austen/Vivien Jones,143036238,4.26,1821,210,
5375,Pride And Prejudice,Jane Austen,192802380,4.26,2399,253,
5376,Primal Heat,Lora Leigh/Sherri L. King/Lorie O'Clare/Jaci Burton,1843607409,4.13,3567,62,
5377,Primary English: Knowledge And Understanding,Jane Medwell/David Wray,1844450937,3.87,1,0,
5378,Prime Time,Rachel Ryan/Sandra Brown,446364290,3.58,2005,60,
5379,Primo Levi: A Life,Ian Thomson,312423675,4.11,104,5,
5380,Prince Caspian,C.S. Lewis,61125253,3.97,1123,90,
5381,Prince Of Ice,Emma Holly,425212599,3.99,1335,59,
5382,Prince Of Magic,Anne Stuart,082176053X,3.64,260,17,
5383,Prince Of The Blood,Raymond E. Feist,553588117,3.98,19537,171,
5384,Prince Of The City,Keith Herber,1565048202,3.56,58,0,
5385,Princess Sultana'S Daughters,Jean Sasson,038547444X,3.89,59,5,
5386,Principle-Centered Leadership,Stephen R. Covey,671792806,4.1,15003,140,
5387,Prioritizing Web Usability,Jakob Nielsen/Hoa Loranger,321350316,3.94,599,16,
5388,Prisoner'S Dilemma,Richard Powers,60977086,3.87,543,45,
5389,Prisoner'S Dilemma: John Von Neumann  Game Theory  And The Puzzle Of The Bomb,William Poundstone/John von Neumann,038541580X,3.91,1323,94,
5390,Private Parts,Howard Stern,671009443,3.77,3878,151,
5391,Problems Of Dostoevsky'S Poetics,Mikhail Bakhtin/Caryl Emerson,816612285,4.34,641,29,
5392,Problems Of The Self: Philosophical Papers 1956 1972,Bernard Williams,521290600,3.97,57,2,
5393,Prodigal Blues,Gary A. Braunbeck/Deena Warner,1587671093,4.25,221,28,
5394,Prodigal Summer,Barbara Kingsolver,60959037,4,88241,5652,
5395,Programming In C,Stephen G. Kochan,672326663,3.96,222,16,
5396,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,974514055,4.03,1577,49,
5397,Programming.Java: An Introduction To Programming Using Java: An Introduction To Programming Using Java,Rick Decker/Stuart Hirshfield,534371094,4,1,0,
5398,Prom Anonymous,Blake Nelson,142407453,3.42,462,59,
5399,Prometheus Bound And Other Plays,Aeschylus/Philip Vellacott,140441123,4.1,4303,62,
5400,Prometheus Rising,Robert Anton Wilson/Israel Regardie,1561840564,4.26,5394,299,
5401,Promise Me,Harlan Coben,451219244,3.99,21149,1138,
5402,Promise Of The Witch King,R.A. Salvatore,786940735,4.17,7847,104,
5403,Proof Of Concept,Larry Young/Damian Couceiro/Kieron Dwyer,1932051295,3,6,1,
5404,Prophet,Frank E. Peretti,1581345267,3.94,12789,221,
5405,Proust And Signs: The Complete Text,Gilles Deleuze/Richard Howard,816632588,4.22,20,1,
5406,Proust'S Way: A Field Guide To In Search Of Lost Time,Roger Shattuck,393321800,3.92,241,28,
5407,Providence Of A Sparrow: Lessons From A Life Gone To The Birds,Chris Chester,1400033853,4.33,228,44,
5408,Prozac Nation,Elizabeth Wurtzel,1573229628,3.59,895,78,
5409,Prétear  Vol. 2,Junichi Satō/Kaori Naruse,141390145X,4,347,17,
5410,Prétear  Vol. 3,Junichi Satō/Kaori Naruse,1413901468,3.95,326,10,
5411,Prétear  Vol. 4,Junichi Satō/Kaori Naruse,1413901476,3.96,294,14,
5412,Ps I Love You Baby Collection,Lynda Milligan/Nancy J. Smith,962247723,4.43,7,0,
5413,Psyche In A Dress,Francesca Lia Block,60763728,3.84,2449,217,
5414,Psychoanalysis And Religion,Erich Fromm/محمود منقذ الهاشمي,300000898,4.02,865,32,
5415,Psychonavigation: Techniques For Travel Beyond Time,John Perkins,089281800X,4.1,65,3,
5416,Public Enemies,Gordon Korman,439651409,4.19,2050,76,
5417,Public Secrets,Nora Roberts,553589474,4.03,11035,418,
5418,Pure And Simple: The Extraordinary Teachings Of A Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,086171492X,4.29,37,6,
5419,Purgatorio,Dante Alighieri/Robert M. Durling,195087453,4.02,15675,244,
5420,Purity,Douglas Clegg,1881475719,3.79,99,12,
5421,Purity Of Blood,Arturo Pérez-Reverte/Margaret Sayers Peden,452287987,3.75,3240,130,
5422,Purple Cane Road,James Lee Burke,440224047,4.15,5467,246,
5423,Purpose Driven Life - For Commuters: What On Earth Am I Here For?,Rick Warren,310258979,3.93,26,2,
5424,Pusteblume,Marian Keyes,3453189345,3.81,59,0,
5425,Puzzle Pack: The Witch Of Blackbird Pond,Mary B. Collins,1583377824,1,2,0,
5426,Pygmalion,George Bernard Shaw,486282228,3.9,76944,1636,
5427,Pygmalion & My Fair Lady,George Bernard Shaw/Alan Jay Lerner,451530098,4.26,14962,61,
5428,Pyramids Of Montauk: Explorations In Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,963188925,3.89,74,2,
5429,Pégate Un Tiro Para Sobrevivir: Un Viaje Personal Por La América De Los Mitos,Chuck Klosterman,8439720033,3.81,27,2,
5430,Q: The Autobiography Of Quincy Jones,Quincy Jones,767905105,4.09,639,51,
5431,Qed: The Strange Theory Of Light And Matter,Richard P. Feynman,691024170,4.24,13463,320,
5432,Queen Of Babble,Meg Cabot,60851988,3.69,60787,1693,
5433,Queen Of Scots: The True Life Of Mary Stuart,John Guy,618254110,3.93,1882,155,
5434,Queen Of Sorcery,David Eddings,552148083,4.14,453,20,
5435,Queen Of The Scene,Queen Latifah/Frank Morrison,60778563,4.06,94,18,
5436,Queen Of The Underworld,Gail Godwin,345483197,2.89,541,100,
5437,Queer,William S. Burroughs,330300164,3.59,9811,279,
5438,Quester'S Endgame,Jo Clayton,886771382,3.98,159,6,
5439,Question Quest,Piers Anthony,380759489,3.71,6894,73,
5440,Questions And Answers On Death And Dying: A Companion Volume To On Death And Dying,Elisabeth Kübler-Ross,684839377,4.07,197,7,
5441,Quicksand,Nella Larsen,486451402,3.68,181,29,
5442,Quicksilver,Neal Stephenson,60593083,3.93,30872,1735,
5443,Quiet Days In Clichy,Henry Miller,080213016X,3.69,3381,141,
5444,Quimby The Mouse,Chris Ware,022407265X,4.09,1411,32,
5445,Quintessential Tarantino,Edwin Page,714531162,3.25,50,3,
5446,Quito 1599: City And Colony In Transition,Kris Lane/Lyman L. Johnson,082632357X,3.52,22,2,
5447,Quiver,Stephanie Spinner,440238196,3.51,837,95,
5448,Qué Se Puede Esperar Cuando Se Está Esperando,Heidi Murkoff/Arlene Eisenberg,076113686X,3.77,27,2,
5449,R-T  Margaret  And The Rats Of Nimh,Jane Leslie Conly/Leonard B. Lubin,64403874,3.54,662,29,
5450,Rabbit Angstrom: The Four Novels,John Updike,679444599,4.26,1512,148,
5451,Rabbit At Rest,John Updike,449911942,3.97,13361,395,
5452,Rabbit Hole,David Lindsay-Abaire,1559362901,4.06,6634,185,
5453,Rabbit Novels: Rabbit  Run And Rabbit Redux,John Updike,345464567,3.98,811,55,
5454,Rabia,Richard Bachman/Stephen King/Hernán Sabaté Vargas,8427011504,3.78,91,22,
5455,Race Of Scorpions,Dorothy Dunnett,039457107X,4.42,21,1,
5456,Rachel & Leah,Orson Scott Card,765341298,3.85,5618,514,
5457,Rachel Field'S Hitty: Her First Hundred Years,Rosemary Wells/Susan Jeffers/Rachel Field,689817169,4,117,24,
5458,Rachel Se Va De Viaje,Marian Keyes,8497599179,3.95,204,21,
5459,Rachel'S Holiday,Marian Keyes,60090383,3.95,55525,1223,
5460,Racso And The Rats Of Nimh,Jane Leslie Conly/Leonard B. Lubin,64402452,3.77,3314,95,
5461,Radical Chic & Mau-Mauing The Flak Catchers,Tom Wolfe,553380621,3.77,2288,106,
5462,Radio Fifth Grade,Gordon Korman,590419277,3.55,522,47,
5463,Rage Of A Demon King,Raymond E. Feist,380974738,4.05,21965,92,
5464,Rage Of Angels,Sidney Sheldon,6178731,3.93,30283,860,
5465,Ragtime,E.L. Doctorow,553026003,3.88,210,37,
5466,Ragtime In Simla,Barbara Cleverly,385339720,3.84,60,10,
5467,Rails Cookbook: Recipes For Rapid Web Development With Ruby,Rob Orsini,596527314,3.48,64,1,
5468,Rain Of Gold,Victor Villaseñor,038531177X,4.48,5880,618,
5469,Rainbow Six,Tom Clancy/David Dukes,425170349,4.09,40815,908,
5470,Rainforest Home Remedies: The Maya Way To Heal Your Body And Replenish Your Soul,Rosita Arvigo/Nadine Epstein,006251637X,4.13,66,7,
5471,Raise High The Roof Beam  Carpenters & Seymour: An Introduction,J.D. Salinger,316766941,4.11,40629,1189,
5472,Raise High The Roof Beam  Carpenters And Seymour: An Introduction,J.D. Salinger,140237518,4.11,251,19,
5473,Raise The Titanic!,Clive Cussler,425194523,3.98,21489,636,
5474,Raised On Rock: Growing Up At Graceland,David Stanley/Mark Bego,1851588523,2.75,4,0,
5475,Raising The Bar: Ministry To Youth In The New Millennium,Alvin L. Reid,082543632X,3.86,42,3,
5476,Ralph Ellison: A Biography,Arnold Rampersad,375408274,4.15,182,24,
5477,Rameau'S Nephew / D'Alembert'S Dream,Denis Diderot/Leonard Tancock,140441735,3.67,1292,67,
5478,Random House Crossword Mega Omnibus  Volume 1,United Feature Syndication,081292763X,0,0,0,
5479,Ranma 1/2  Vol. 12,Rumiko Takahashi,1591162866,4.11,1102,19,
5480,Ranma 1/2  Vol. 27,Rumiko Takahashi,1591164591,4.09,891,13,
5481,Ranma 1/2  Vol. 34,Rumiko Takahashi,1421505053,4.08,782,13,
5482,Ranma 1/2  Vol. 35,Rumiko Takahashi,1421505061,4.1,752,13,
5483,Ranma 1/2  Vol. 36,Rumiko Takahashi,142150507X,4.14,863,33,
5484,Ranma 1/2  Vol. 7,Rumiko Takahashi,1591161290,4.13,1392,39,
5485,Ranma 1/2  Vol. 8,Rumiko Takahashi,1591161304,4.15,1473,22,
5486,Ranma ½  Vol. 1,Rumiko Takahashi,1569319626,4.15,29058,309,
5487,Rant,Chuck Palahniuk,385517874,3.81,55592,2516,
5488,Rape: A Love Story,Joyce Carol Oates,786712945,3.57,114,24,
5489,Rash,Pete Hautman,689868014,3.75,2994,459,
5490,Rashōmon And Seventeen Other Stories,Ryūnosuke Akutagawa/Jay Rubin/Haruki Murakami/Yoshihiro Tatsumi,143039849,4.13,4813,239,
5491,Rat Bastards: The Life And Times Of South Boston'S Most Honorable Irish Mobster,"John ""Red"" Shea/Mark Wahlberg",60837160,3.51,34,3,
5492,Rat Race,Dick Francis,425210766,3.98,2400,93,
5493,Ratner'S Star,Don DeLillo,009992840X,3.49,1548,98,
5494,Raven,V.C. Andrews,671020315,3.71,4678,59,
5495,Ray Bradbury'S Fahrenheit 451,Harold Bloom,791059294,4.18,991,52,
5496,Razor'S Edge: The Unofficial History Of The Falklands War,Hugh Bicheno/Richard   Holmes,753821869,3.79,42,4,
5497,Read For Your Life: 11 Ways To Better Yourself Through Books,Pat Williams/Peggy Matthews Rose,757305458,3.7,82,17,
5498,Read My Lips: Sexual Subversion And The End Of Gender,Riki Anne Wilchins,1563410907,3.95,253,17,
5499,Reading Greek Tragedy,Simon Goldhill,521315794,4.12,32,3,
5500,Reading In The Dark,Seamus Deane,375700234,3.73,3237,227,
5501,Reading Like A Writer: A Guide For People Who Love Books And For Those Who Want To Write Them,Francine Prose,60777052,3.77,7914,1094,
5502,Reading Lolita In Tehran,Azar Nafisi,7178484,3.61,325,56,
5503,Reading Lolita In Tehran: A Memoir In Books,Azar Nafisi,081297106X,3.61,106493,6561,
5504,Reading The Bible Again For The First Time: Taking The Bible Seriously But Not Literally,Marcus J. Borg,60609192,4.13,2959,187,
5505,Readings For Meditation And Reflection,C.S. Lewis/Walter Hooper,60652853,4.32,272,27,
5506,Readings In Classical Chinese Philosophy,Philip J. Ivanhoe/Bryan W. Van Norden,872207803,3.99,341,21,
5507,Ready For Anything: 52 Productivity Principles For Getting Things Done,David    Allen,143034545,3.85,3832,178,
5508,Ready Or Not,Meg Cabot,60724501,3.4,22149,737,True
5509,Real Boys: Rescuing Our Sons From The Myths Of Boyhood,William S. Pollack/Mary Pipher,805061835,3.83,1397,128,
5510,Real Estate Loopholes: Secrets Of Successful Real Estate Investing,Diane  Kennedy/Garrett Sutton/Robert T. Kiyosaki,446691356,4.15,721,9,
5511,Real Ultimate Power: The Official Ninja Book,Robert  Hamburger,080652569X,4,997,117,
5512,Realms Of Dragons: The Universes Of Margaret Weis And Tracy Hickman,Denise Little/J. Robert King/Margaret Weis/Tracy Hickman/Janet Pack/Jean Rabe,61052396,4.06,49,0,
5513,Reaper Man,Terry Pratchett,552152951,4.28,63287,1445,
5514,Reason In History,Georg Wilhelm Friedrich Hegel/Robert S. Hartman,23513209,3.65,451,17,
5515,Rebecca,Daphne du Maurier/Sally Beauman,1844080382,4.23,179639,8119,
5516,Rebekah,Orson Scott Card,076534128X,3.84,7487,617,
5517,Rebellion,Nora Roberts,373285434,3.92,6650,150,
5518,Rebirth Volume 5,Kang-Woo Lee/Lauren Na,1591822203,4.03,102,2,
5519,Reckless Love,Elizabeth Lowell,373772521,3.8,1101,45,
5520,Red  White  And Black: The Peoples Of Early North America,Gary B. Nash,139567569,3.79,170,7,
5521,Red And Black,Stendhal/Robert M. Adams,393098214,3.88,53,4,
5522,Red Dragon,Thomas  Harris,525945563,4.04,236028,3247,
5523,Red Harvest,Dashiell Hammett,752852612,3.97,17966,870,
5524,Red Herrings And White Elephants: The Origins Of The Phrases We Use Every Day,Albert Jack/Ann Page,60843373,3.73,71,5,
5525,Red Message,Peter Abrahams,380898039,3.12,8,2,
5526,Red Phoenix,Larry Bond,751504351,4.02,26,2,
5527,Red Prophet,Orson Scott Card,812524268,3.79,18228,427,
5528,Red Rabbit,Tom Clancy,399148701,3.67,23018,514,
5529,Red River  Vol. 14,Chie Shinohara,1421505568,4.44,1030,13,
5530,Red River  Vol. 15,Chie Shinohara,1421505576,4.45,1007,13,
5531,Red River  Vol. 16,Chie Shinohara,1421505584,4.45,999,13,
5532,Red River  Vol. 17,Chie Shinohara,1421509970,4.44,984,10,
5533,Red Road From Stalingrad: Recollections Of A Soviet Infantryman,Mansur Abdulin/Artem Drabkin,184415145X,4.1,82,4,
5534,Red: Passion And Patience In The Desert,Terry Tempest Williams,375725180,4.02,1309,107,
5535,Redburn,Herman Melville/Harold Beaver,140431055,3.62,545,53,
5536,Redburn / White-Jacket / Moby-Dick,Herman Melville/G. Thomas Tanselle,940450097,4.2,1031,72,
5537,Redemption,Karen Kingsbury/Gary Smalley,842356223,4.38,25248,859,
5538,Reduced Shakespeare: The Attention-Impaired Readers Guide To The World'S Best Playwright,Reed Martin/Austin Tichenor,1401302203,4.13,281,53,
5539,Redwall,Brian Jacques,1862301387,4.12,88167,2604,
5540,Reefer Madness: Sex  Drugs  And Cheap Labor In The American Black Market,Eric Schlosser,618446702,3.78,5330,353,
5541,Refactoring: Improving The Design Of Existing Code,Martin Fowler/Kent Beck/Don Roberts/Erich Gamma,201485672,4.24,6086,222,
5542,Reflex,Dick Francis,425206955,4.07,4675,129,
5543,Refuge,James Axler,373638493,3.93,5,0,
5544,Regarding The Fountain: A Tale  In Letters  Of Liars And Leaks,Kate Klise/M. Sarah Klise,380793474,4.2,3208,306,
5545,Regeneration,Julie E. Czerneda,756403456,4.13,54,2,
5546,Regeneration Through Violence: The Mythology Of The American Frontier  1600–1860,Richard Slotkin,806132299,4.3,163,16,
5547,Reinventing Jesus: How Contemporary Skeptics Miss The Real Jesus And Mislead Popular Culture,J. Ed Komoszewski/Daniel B. Wallace/M. James Sawyer,082542982X,4.2,225,21,
5548,Reinventing The Enemy'S Language: Contemporary Native Women'S Writings Of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,393318281,4.39,278,20,
