,title,authors,isbn,average_rating,ratings_count,text_reviews_count,best_seller
0,$30 Film School: How To Write  Direct  Produce  Shoot  Edit  Distribute  Tour With  And Sell Your Own No-Budget Digital Movie,Michael W. Dean,1592000673,3.49,30,4,
1,'Salem'S Lot,Stephen King/Jerry N. Uelsmann,385516487,4.25,84123,571,
2,1 000 Places To See Before You Die,Patricia Schultz,761104844,3.85,36303,439,
3,10 Lb Penalty,Dick Francis,042519745X,3.9,3490,177,
4,100 Great Fantasy Short Short Stories,Isaac Asimov/Terry Carr/Martin H. Greenberg/Janet  Fox,380699176,3.91,204,19,
5,100 Love Sonnets,Pablo Neruda/Stephen Tapscott,292760280,4.39,12613,392,
6,100 Years Of Lynchings,Ralph Ginzburg,933121180,4.61,88,4,
7,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3822840858,3.85,288,31,
8,1000 Rings: Inspiring Adornments For The Hand,Marthe Le Van/Robert W. Ebendorf/Lark Books,1579905080,4.23,82,9,
9,1001 Illuminated Initial Letters: 27 Full-Color Plates,Owen    Jones,486256073,3.46,11,1,
10,101 Stories Of The Great Ballets: The Scene-By-Scene Stories Of The Most Popular Ballets  Old And New,George Balanchine/Francis Mason,385033982,4,203,12,
11,11 De Septiembre,Noam Chomsky,158322565X,3.73,14,2,
12,13 Little Blue Envelopes,Maureen Johnson,60541431,3.64,70689,4067,
13,13Th Directorate,Barry Chubin,804104557,2.62,8,1,
14,1421: The Year China Discovered America,Gavin Menzies,006054094X,3.6,11751,893,
15,1491: New Revelations Of The Americas Before Columbus,Charles C. Mann,1400032059,4.02,56290,3238,
16,1599: A Year In The Life Of William Shakespeare,James Shapiro,571214800,4.09,34,6,
17,1632,Eric Flint,1416532811,4.04,8406,638,
18,1635: The Cannon Law,Eric Flint/Andrew Dennis,1416509380,3.76,1336,35,
19,1776,David McCullough,743226720,4.07,166916,6243,
20,18 Best Stories By Edgar Allan Poe,Edgar Allan Poe/Vincent  Price/Chandler Brossard,440322278,4.02,412,37,
21,1848: The Revolution Of The Intellectuals,Lewis B. Namier/James Joll,197261116,3.11,15,0,
22,1912 Manuscript On The Special Theory Of Relativity,Albert Einstein/Hanoch Gutfreund,807615323,4.41,17,0,
23,1919,John Dos Passos/E.L. Doctorow,618056823,4,2185,137,
24,1968: The Year That Rocked The World,Mark Kurlansky,345455827,3.78,2046,248,
25,1968: War And Democracy,Eugene J. McCarthy/Christopher Hitchens,1883477379,4.5,2,1,
26,1984,George Orwell/Erich Fromm,451516753,4.18,1322,121,True
27,1St To Die,James Patterson,446696617,4.08,269826,5220,
28,20 000 Leagues Under The Sea,Ron     Miller/Jules Verne/Paul   Wright,751370738,3.76,34,4,
29,200 Quilt Blocks: To Mix And Match,Davina Thomas,896892026,4.09,5,0,
30,2006 International Building Code,International Code Council (ICC),1580012515,3.27,11,1,
31,2012: The Return Of Quetzalcoatl,Daniel Pinchbeck,1585424838,3.42,1416,217,
32,22 Indigo Place,Sandra Brown,553290851,3.63,2537,79,
33,23 Days In July: Inside The Tour De France And Lance Armstrong'S Record-Breaking Victory,John Wilcockson/Graham   Watson,306814552,3.67,360,26,
34,25 Ways To Win With People: How To Make Others Feel Like A Million Bucks,John C. Maxwell/Les Parrott III,785260943,4.11,1710,114,
35,2Nd Chance,James Patterson/Andrew Gross,446696633,4.04,78780,2118,
36,3Rd Degree,James Patterson/Andrew Gross,446696641,4.02,268,13,
37,4:50 From Paddington / A Pocket Full Of Rye,Agatha Christie,553525638,3.94,34,3,
38,4Th Of July,James Patterson/Maxine Paetro,446613363,4.07,62523,1674,
39,50 Great Curries Of India,Camellia Panjabi,1904920357,4.15,209,29,
40,7 Hábitos De Las Familias Altamente Efectivas,Stephen R. Covey,1400083419,4.16,7,0,
41,7 Steps To Midnight,Richard Matheson,765308371,3.48,423,44,True
42,72 Hour Hold,Bebe Moore Campbell,1400033616,3.81,1746,184,
43,9-Nov,Noam Chomsky/Greg Ruggiero/Marili Margomenou/Miguel Mora/Natalie Levisalles/Il Manifesto/Hartford Courant/David Barsamian/Radio B92/Elise Fried/Peter Kreysler/Gionarle del Popolo/Michael Albert,1583224890,3.73,3070,172,
44,A Backward Glance,Edith Wharton/Louis Auchincloss,684847558,3.76,521,77,
45,A Beautiful Mind,Sylvia Nasar,571212921,4.13,115201,1008,
46,A Bend In The River,V.S. Naipaul,330487140,3.77,13147,690,
47,A Bend In The Road,Nicholas Sparks,446696137,4.03,125693,3229,
48,A Birthday For Frances,Russell Hoban/Lillian Hoban,99432447,4.24,2256,71,
49,A Bite To Remember,Lynsay Sands,006077407X,4.24,17710,393,
50,A Book Of Blue Flowers,Robert L. Geneve,881927694,3.83,0,0,
51,A Book Of Common Prayer,Joan Didion,679754865,3.8,2962,255,
52,A Box Of Matches,Nicholson Baker,375706038,3.67,1679,192,
53,A Break With Charity: A Story About The Salem Witch Trials,Ann Rinaldi,152046828,3.79,5052,417,
54,A Break With Charity: A Story Of The Salem Witch Trials,Ann Rinaldi,785735488,3.79,37,6,
55,A Breath Of Snow And Ashes,Diana Gabaldon,385340397,4.44,105950,3992,
56,A Brief History Of Time,Stephen Hawking,553380168,4.17,239652,5860,
57,A Briefer History Of Time,Stephen Hawking/Leonard Mlodinow,553804367,4.22,24035,828,
58,A Calendar Of Wisdom: Daily Thoughts To Nourish The Soul,Leo Tolstoy/Peter Sekirin,684837935,4.07,502,43,
59,A Caress Of Twilight,Laurell K. Hamilton,345478169,4.06,32029,596,
60,A Cargo Of Women: Susannah Watson And The Convicts Of The Princess Royal,Babette Smith,1877058335,3.58,0,0,
61,A Caribbean Mystery,Agatha Christie/Rosalind Ayres,1572705493,3.8,49,10,
62,A Carl Hiaasen Collection: Stormy Weather  Tourist Season  And  Strip Tease,Carl Hiaasen/Edward Asner,375410465,4.45,44,1,True
63,A Case Of Need,Jeffery Hudson/Michael Crichton,451210638,3.72,17135,654,
64,A Cat  A Man  And Two Women,Jun'ichirō Tanizaki/Paul McCarthy,4770016050,3.8,972,74,
65,A Cavern Of Black Ice,J.V. Jones,076534551X,3.87,7919,163,
66,A Certain Justice,P.D. James,770429912,3.93,6877,374,
67,A Changeling For All Seasons,Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,1595962808,3.76,167,4,
68,A Child'S Garden Of Verses,Robert Louis Stevenson/Tasha Tudor,689823827,4.3,22227,431,
69,A Chosen Few: The Resurrection Of European Jewry,Mark Kurlansky,345448146,3.87,51,2,
70,A Christmas Carol,Charles Dickens/P.J. Lynch,763631205,4.05,4359,353,
71,A Christmas Carol And Other Christmas Books,Charles Dickens/Robert Douglas-Fairhurst,192806947,3.96,156,20,
72,A Christmas Carol And Other Christmas Writings,Charles Dickens/Michael Slater,140439056,4.14,30393,449,
73,A Christmas Carol And The Night Before Christmas,Charles Dickens/Clement C. Moore/Arthur Rackham,517229277,4.35,91,15,
74,A Christmas Memory,Truman Capote,375837892,4.24,9982,849,
75,A Christmas Story,Jean Shepherd,767916220,4.08,3187,381,
76,A Circle Of Quiet,Madeleine L'Engle,62545035,4.21,5236,506,
77,A Civil Action,Jonathan Harr,679772677,3.97,13628,754,
78,A Clash Of Kings,George R.R. Martin,553381695,4.41,638766,16535,
79,A Clockwork Orange,Anthony Burgess/Blake Morrison,141182601,3.99,5366,524,
80,A Cold Treachery,Charles Todd,553586610,4.15,2997,265,
81,A Collection Of Rudyard Kipling'S Just So Stories,Rudyard Kipling/Christopher Corr,763626295,4.09,177,19,
82,A Companion To Plato'S Republic,Nicholas P. White,915144921,3.67,25,0,
83,A Complicated Kindness,Miriam Toews,1582433224,3.65,17963,1023,
84,A Confederacy Of Dunces,John Kennedy Toole,140282688,3.89,540,47,
85,A Confederate General From Big Sur / Dreaming Of Babylon / The Hawkline Monster,Richard Brautigan,395547032,4.25,1724,103,
86,A Conflict Of Visions: Ideological Origins Of Political Struggles,Thomas Sowell,465081428,4.31,1797,166,
87,A Couple Of April Fools,Gregory Maguire/Elaine Clayton,60760826,3.48,3,0,
88,A Crack In The Edge Of The World,Simon Winchester,60572000,3.78,5413,499,
89,A Crown Of Swords,Robert Jordan,812550285,4.04,106712,1604,
90,A Damsel In Distress,P.G. Wodehouse,1406953210,4.08,3526,355,
91,A Dance At The Slaughterhouse,Lawrence Block,380813734,4.18,3351,147,True
92,A Dance To The Music Of Time: 1St Movement,Anthony Powell,226677141,3.95,3817,271,
93,A Dance To The Music Of Time: 2Nd Movement,Anthony Powell,226677168,4.29,1237,87,
94,A Dance To The Music Of Time: 3Rd Movement,Anthony Powell,226677176,4.26,1289,83,
95,A Dance To The Music Of Time: 4Th Movement,Anthony Powell,226677184,4.22,1145,77,
96,A Dangerous Fortune,Ken Follett,330332651,4.05,154,12,
97,A Dangerous Man,Charlie Huston,034548133X,4.07,2735,162,True
98,A Day In The Life: The Music And Artistry Of The Beatles,Mark Hertsgaard,385315171,4.16,1116,46,
99,A Devilish Dilemma,Judith A. Lansdowne,821758268,4.02,54,6,
100,A Different Mirror: A History Of Multicultural America,Ronald Takaki,316831115,4.13,3389,212,
101,A Dirty Job,Christopher Moore,60590270,4.07,90947,5477,
102,A Distant Mirror: The Calamitous 14Th Century,Barbara W. Tuchman,345910907,4.08,143,26,
103,A Divine Revelation Of Hell,Mary K. Baxter/T.L. Lowery,883682796,4.18,1164,154,
104,A Door Of Hope,Jan Frank,898401879,3.97,28,3,
105,A Dracula Handbook,Elizabeth Russell Miller,1413480942,4.07,10,1,
106,A Drink Before The War,Dennis Lehane,156029022,3.95,29089,1523,
107,A Dubious Codicil,Michael Wharton,701130644,3.25,3,0,
108,A Fabulous  Formless Darkness,David G. Hartwell/Fritz Leiber/Fitz-James O'Brien/Shirley Jackson/Ambrose Bierce/Edith Wharton/Algernon Blackwood/Thomas M. Disch/Robert Aickman/Philip K. Dick/Gene Wolfe/Charles Dickens/Stephen King/Joyce Carol Oates/Walter de la Mare/Ivan Turgenev/Robert W. Chambers/Oliver Onions,812509676,4.18,31,5,
109,A Faint Cold Fear,Karin Slaughter,60534052,4.08,25119,900,
110,A Fairly Honourable Defeat,Iris Murdoch/Peter Reed,141186178,3.93,1417,115,
111,A Faith Like Mine,Laura Buller/D.K. Publishing,756611776,3.91,50,19,
112,A False Mirror,Charles Todd,60786736,4.02,2519,225,
113,A Fan'S Notes,Frederick Exley/Jonathan Yardley,679602712,4.08,81,10,
114,A Farewell To Arms,Ernest Hemingway/John Slattery,743564375,3.8,290,65,
115,A Farewell To Arms?: Beyond The Good Friday Agreement,Adrian Guelke/Michael Cox/Fiona Stephen,719071151,4.33,0,0,
116,A Fearsome Doubt,Charles Todd,553583174,4.04,2815,258,
117,A Feather On The Breath Of God,Sigrid Nunez,312422733,3.91,488,66,
118,A Fighting Man Of Mars,Edgar Rice Burroughs,345345118,3.84,3169,77,
119,A Fine Balance,Rohinton Mistry,140003065X,4.36,112196,7546,
120,A First Course In String Theory,Barton Zwiebach,521831431,4.16,189,8,
121,A Fistful Of Charms,Kim Harrison,60788194,4.29,47773,1109,
122,A Framework For Understanding Poverty,Ruby K. Payne,1929229488,3.9,3690,518,
123,A Free Enquiry Into The Vulgarly Received Notion Of Nature,Robert Boyle/Michael Hunter/Edward B. Davis,521567963,3,2,0,
124,A Friar'S Bloodfeud,Michael Jecks,755323009,4.1,220,14,
125,A Friend Of The Earth,T. Coraghessan Boyle,747553467,3.67,30,3,
126,A Frolic Of His Own,William Gaddis,684800527,3.85,1312,106,
127,A Full House: An Austin Family Christmas,Madeleine L'Engle/Mary Chambers,877880204,3.98,235,4,
128,A Game Of You,Neil Gaiman/Shawn McManus/Colleen Doran/Bryan Talbot/George Pratt/Stan Woch/Dick Giordano/Todd Klein,1563890933,4.43,43065,876,
129,A Garden Of Earthly Delights,Joyce Carol Oates/Elaine Showalter,812968344,3.84,1448,138,
130,A Garden Of Vipers,Jack Kerley,451412338,3.96,562,37,
131,A Gateway To Sindarin: A Grammar Of An Elvish Language From J.R.R. Tolkien'S Lord Of The Rings,David Salo,874808006,3.73,7,0,
132,A General History Of The Pyrates,Daniel Defoe/Manuel Schonhorn/Charles   Johnson,486404889,3.72,577,36,
133,A General Theory Of Love,Thomas Lewis/Fari Amini/Richard Lannon,375709223,4.11,3675,422,
134,A Gift Of Wings,Richard Bach,330304216,3.79,1664,44,
135,A God In Ruins,Leon Uris,61097934,3.26,1208,104,
136,A Gravity'S Rainbow Companion: Sources And Contexts For Pynchon'S Novel,Steven Weisenburger,820328073,4.01,152,26,
137,A Great And Terrible Beauty,Libba Bray,689875347,3.79,189652,8207,
138,A Green Desire,Anton Myrer/Alastair Westgarth,60934638,3.73,152,9,
139,A Guide To The Words Of My Perfect Teacher,Ngawang Pelzang/Padmakara Translation Group/Patrul Rinpoche/Alak Zenkar,1590300734,4.61,79,0,
140,A Guided Tour Of 5 Works By Plato: Euthyphro/Apology/Crito/Phaedo/Cave,Christopher Biffle/Plato,1559343567,4.33,9,1,
141,A Happy Death,Albert Camus/Richard Howard/Jean Sarocchi,141186585,3.82,6975,257,
142,A Hard Day'S Write: The Stories Behind Every Beatles Song,Steve Turner,60844094,4.18,156,10,
143,A Harlot High And Low,Honoré de Balzac/Rayner Heppenstall,140442324,4.06,1546,64,
144,A Hat Full Of Sky,Terry Pratchett,055255264X,4.3,51562,1294,
145,A Heartbreaking Work Of Staggering Genius,Dave Eggers,375725784,3.68,157572,8463,
146,A Higher Justice,James Scott Bell,764226460,4.26,175,18,
147,A History Of Britain: The Fate Of Empire 1776-2000,Simon Schama,786868996,4.06,675,41,
148,A History Of God: The 4 000-Year Quest Of Judaism  Christianity  And Islam,Karen Armstrong,517223120,3.87,38915,1087,
149,A History Of Modern Europe  Volume 2: From The French Revolution To The Present,John M. Merriman,393924955,4,62,4,
150,A History Of Philosophy 1: Greece And Rome,Frederick Charles Copleston,826468950,4.1,20,4,
151,A History Of The Life Sciences,Lois N. Magner/Magner,824708245,4.53,15,2,
152,A History Of The World In 10½  Chapters,Julian Barnes,679731377,3.89,10008,638,
153,A History Of The World In 6 Glasses,Tom Standage,802715524,3.76,14820,1686,
154,A History Of Venice,John Julius Norwich,679721975,4.2,1422,93,
155,A Hole In The World: An American Boyhood,Richard Rhodes,700610383,3.9,182,24,
156,A Home At The End Of The World,Michael Cunningham,312424086,3.91,14769,658,
157,A House Divided,Pearl S. Buck,1559210346,3.89,2849,177,
158,A House Like A Lotus,Madeleine L'Engle,440936853,3.76,3976,163,True
159,A Hundred Camels In The Courtyard,Paul Bowles,872860027,3.98,313,23,
160,A Hunger Like No Other,Kresley Cole,1416509879,4.19,57010,2634,
161,A Is For Abductive : The Language Of The Emerging Church,Leonard Sweet/Brian D. McLaren,310243564,3.14,49,3,
162,A Jockey'S Life: The Biography Of Lester Piggott,Dick Francis,449213307,3.59,82,2,
163,A Killing In Comics,Max Allan Collins/Terry Beatty,042521365X,3.65,151,29,
164,A Killing Rain,P.J. Parrish,078601606X,4.04,456,41,
165,A Kiss Before Dying,Ira Levin/Otto Penzler,786711647,3.94,6548,556,
166,A Kiss Remembered,Erin St. Claire/Sandra Brown,446612618,3.47,3667,164,
167,A Kiss To Remember,Teresa Medeiros,553581856,3.89,3634,201,
168,A Lady At Last,Brenda Joyce,373771371,4.06,1549,87,
169,A Lesson Before Dying,Ernest J. Gaines,375702709,3.95,47143,2998,
170,A Lie And A Libel: The History Of The Protocols Of The Elders Of Zion,Binjamin W. Segel/Richard S. Levy/Sergei Nilus,803292457,3.3,8,2,
171,A Life In Letters,F. Scott Fitzgerald/Matthew J. Bruccoli,684801531,4.22,186,13,True
172,A Light In The Attic,Shel Silverstein,60513063,4.34,349247,2567,
173,A Little Bit Wicked,Victoria Alexander,006088262X,3.8,2209,88,
174,A Little House Birthday,Laura Ingalls Wilder/Doris Ettlinger,006443494X,4.14,453,17,
175,A Little House Traveler: Writings From Laura Ingalls Wilder'S Journeys Across America,Laura Ingalls Wilder,60724919,4.13,686,52,
176,A Little Prairie House,Laura Ingalls Wilder/Renée Graef,64435261,4.19,1561,45,
177,A Little Princess,Frances Hodgson Burnett/Nancy Bond,142437018,4.2,238192,4392,
178,A Lloyd Alexander Collection,Lloyd Alexander,525467777,4.24,89,7,
179,A Long Shadow,Charles Todd,006078671X,4.11,3086,237,
180,A Long Short War: The Postponed Liberation Of Iraq,Christopher Hitchens,452284988,3.75,371,24,
181,A Long Way Down,Nick Hornby,1594481938,3.42,65202,3943,
182,A Long Way From Chicago,Richard Peck,142401102,3.94,30141,2106,
183,A Long Way Gone: Memoirs Of A Boy Soldier,Ishmael Beah,374105235,4.16,147820,9547,
184,A Mad People'S History Of Madness,Dale Peterson,822953315,4.33,9,0,
185,A Madman Dreams Of Turing Machines,Janna Levin,1400040302,3.68,1136,180,
186,A Magic Crystal?,Louis Sachar,747562830,3.76,227,21,
187,A Magic-Lover'S Treasury Of The Fantastic,Margaret Weis/Ursula K. Le Guin/Roger Zelazny/Christopher Stasheff/Mercedes Lackey/Ray Bradbury/Andre Norton/Jack Vance/Raymond E. Feist/C.J. Cherryh/Fritz Leiber/Melanie Rawn/Marion Zimmer Bradley/Larry Niven/Zenna Henderson/Greg Bear/Orson Scott Card/Katherine Kurtz/Joe Haldeman/Robert Silverberg/F. Paul Wilson/Keith Birdsong,044667284X,3.58,132,4,
188,A Man Of The People,Chinua Achebe,385086164,3.87,3294,208,
189,A Man Rides Through,Stephen R. Donaldson,345459849,4.02,11246,148,
190,A Man Without A Country,Kurt Vonnegut Jr./Daniel Simon,081297736X,4.07,34339,2061,
191,A Man'S Protection,Jayne Castle/Jayne Ann Krentz,440151880,3.88,275,6,
192,A Manual For Living,Epictetus/Sharon Lebell,62511114,4.23,171,14,
193,A Map Of The World,Jane Hamilton/Frank  Muller/C.J. Critt,385720106,3.81,68554,1476,
194,A Matter Of Trust,Radclyffe,1933110333,4.21,942,26,
195,A Matter Of Trust: The Case Of The Mesmerizing Boss / The Case Of The Confirmed Bachelor,Diana Palmer,373771835,4.04,193,3,
196,A Memoir Of Jane Austen And Other Family Recollections,J.E. Austen Leigh/Caroline Austen/Henry Austen/Anna Austen Lefroy/Kathryn Sutherland,192840746,3.83,892,33,
197,A Midsummer Night'S Dream,William Shakespeare,451526961,3.94,2167,101,
198,A Midwife'S Story,Sheryl Feldman/Penny Armstrong,1905177046,4.07,1473,136,
199,A Midwife'S Tale: The Life Of Martha Ballard  Based On Her Diary  1785-1812,Laurel Thatcher Ulrich,679733760,4.01,5149,633,
200,A Million Little Lies,James Pinocchio/Pablo Fenjves,61171468,3.41,201,24,
201,A Million Little Pieces,James Frey,307276902,3.65,206011,10821,
202,A Million Little Pieces Of Feces,Python Bonkers,1411677315,3.56,43,6,
203,A Mind To Murder,P.D. James,571204155,3.82,39,4,
204,A Modern Utopia,H.G. Wells/Gregory Claeys/Francis Wheen,141441127,3.45,596,53,
205,A Modest Proposal And Other Satirical Works,Jonathan Swift,486287599,4.05,13562,141,
206,A Mortal Bane,Roberta Gellis,081257236X,3.9,809,63,
207,A Moveable Feast,Ernest Hemingway,99285045,4.04,82993,4808,
208,A Mulligan For Bobby Jobe: A Novel,Bob Cullen,60933526,3.32,58,9,
209,A Multitude Of Sins,Richard Ford,037572656X,3.75,1183,74,
210,A Murder Is Announced,Agatha Christie,1579126294,3.98,33195,1220,
211,A Near Thing For Captain Najork,Russell Hoban/Quentin Blake,1567923232,4.18,76,11,
212,A New Collection Of Three Complete Novels: Congo / Sphere / Eaters Of The Dead,Michael Crichton,517101351,3.99,960,27,
213,A New History Of Early English Drama,John D. Cox/David Scott Kastan/Stephen Greenblatt,231102437,4.05,20,1,
214,A New Hope: The Illustrated Screenplay,George Lucas,345420691,4.23,11,0,
215,A New Leash On Death,Susan Conant,425146227,3.79,1097,71,
216,A Nose For Murder,Lee Charles Kelley,60524936,3.52,97,13,
217,A Note Slipped Under The Door: Teaching From Poems We Love,Nick Flynn/Shirley McPhillips/Philippa Stratton,1571103201,4.12,57,5,
218,A Painted House,John Grisham,385337930,3.7,67857,3375,
219,A Pale View Of Hills,Kazuo Ishiguro,571225373,3.74,12858,1036,
220,A Parchment Of Leaves,Silas House,345464974,4.18,3192,357,
221,A Passage To India,E.M. Forster/Oliver Stallybrass/Pankaj Mishra,014144116X,3.68,55810,2148,
222,A Passage To India: A Reader'S Guide To Essential Criticism,Betty Jay,184046027X,3.56,108,6,
223,A Patchwork Planet,Anne Tyler,080411918X,3.79,11355,571,
224,A People'S History Of The United States,Howard Zinn,60838655,4.08,167321,4711,
225,A People'S History Of The United States: The Civil War To The Present,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,1565847253,4,22,0,True
226,A People'S Tragedy: The Russian Revolution: 1891-1924,Orlando Figes,014024364X,4.31,2931,222,
227,A Perfect Vacuum,Stanisław Lem/Michael Kandel,810117339,4.18,771,42,
228,A Personal Matter,Kenzaburō Ōe/John Nathan,802150616,3.89,7081,543,
229,A Philosophical Enquiry Into The Origin Of Our Ideas Of The Sublime And Beautiful,Edmund Burke/Adam Phillips,192835807,3.76,1239,54,
230,A Picture Book Of Anne Frank,David A. Adler/Karen Ritz,823410781,4.18,217,70,
231,A Picture Book Of Thomas Jefferson,David A. Adler/John Wallner/Alexandra Wallner,823408817,3.75,14,4,
232,A Pinch Of Poison,Claudia Bishop,425151042,3.57,328,29,
233,A Pinch Of Snuff,Reginald Hill,440169127,3.84,1077,47,
234,A Pirate Looks At Fifty,Jimmy Buffett/Leona Nevler,449005860,3.83,3036,216,
235,A Place So Foreign And Eight More,Cory Doctorow/Bruce Sterling,1568582862,3.72,860,43,
236,A Place Where The Sea Remembers,Sandra Benítez,671892673,3.62,757,103,
237,A Pocket Full Of Rye: A Bbc Radio 4 Full-Cast Dramatisation,Agatha Christie/Michael Bakewell/June Whitfield/Nicky Henson/Derek Waring/Natasha Pyne,792737369,3.86,38,3,
238,A Portrait Of The Artist As A Young Man,James Joyce/Seamus Deane,142437344,3.61,108179,3536,
239,A Power Governments Cannot Suppress,Howard Zinn,872864758,4.27,873,78,
240,A Practical Guide To Dragons,Lisa Trumbauer/Emily Fiegenshuh,786941642,4.33,577,36,
241,A Prayer For Owen Meany,John Irving,679642595,4.23,1073,97,
242,A Preface To Democratic Theory,Robert A. Dahl,226134342,3.63,88,8,
243,A Primate'S Memoir: A Neuroscientist'S Unconventional Life Among The Baboons,Robert M. Sapolsky,743202414,4.35,5040,590,
244,A Princess Of Mars,Edgar Rice Burroughs/John Seelye,143104888,3.81,38926,2355,
245,A Quantum Murder,Peter F. Hamilton,812555244,3.97,4016,95,
246,A Quick Bite,Lynsay Sands,60773758,3.91,35275,1370,
247,A Quiver Full Of Arrows,Jeffrey Archer,312937695,3.78,9214,179,
248,A Random Walk Down Wall Street,Burton G. Malkiel,393057828,4.1,50,6,
249,A Reader'S Digest Songbook: Remembering Yesterday'S Hits,William L. Simon,895772493,4.38,13,0,
250,A Reading Guide To Island Of The Blue Dolphins,Patricia McHugh,439463696,3.89,4,0,
251,A Redwall Winter'S Tale,Brian Jacques/Christopher Denise,142401986,4.13,2353,43,
252,A Ring Of Endless Light,Madeleine L'Engle,440910811,4.15,16755,620,
253,A River Runs Through It,Norman Maclean/Barry Moser,226500608,4.17,6495,388,
254,A River Runs Through It And Other Stories,Norman Maclean/Annie Proulx,226500667,4.18,18634,1147,
255,A Robin Mckinley Collection: Spindle'S End  The Hero And The Crown And The Blue Sword,Robin McKinley,142302333,4.39,527,12,
256,A Room Of One'S Own,Virginia Woolf,1568493665,4.14,27,4,
257,A Room With A View,E.M. Forster,1420925431,3.91,128596,3422,
258,A Room With A View / Howards End,E.M. Forster/Benjamin DeMott,451521412,4.1,2450,113,
259,A Rose For The Crown,Anne Easter Smith,743276876,4.02,4685,264,
260,A Savage War Of Peace: Algeria  1954-1962,Alistair Horne,1590172183,4.23,1895,178,
261,A Scandalous Life: The Biography Of Jane Digby,Mary S. Lovell,1857024699,4.02,850,92,
262,A Scanner Darkly,Philip K. Dick,057507681X,4.02,70604,1925,
263,A Search For What Makes Sense: Finding Faith,Brian D. McLaren/Steve Chalke,310272661,3.59,132,15,
264,A Secret Splendor,Erin St. Claire/Sandra Brown,077832284X,3.66,1328,32,
265,A Sentimental Education,Gustave Flaubert/Douglas Parmée,192836226,3.83,105,7,
266,A Separate Peace,John Knowles/David Levithan,743253973,3.57,175779,6261,
267,A Separate War And Other Stories,Joe Haldeman/Connie Willis,441014070,3.68,342,35,
268,A Severed Head,Iris Murdoch,140020039,3.73,3682,319,
269,A Shadow In Summer,Daniel Abraham,765313405,3.6,9852,633,
270,A Short History Of Byzantium,John Julius Norwich,679772693,4.09,1772,142,
271,A Short History Of Decay,Emil M. Cioran/Richard Howard,1559704640,4.25,1771,99,
272,A Short History Of Modern Philosophy,Roger Scruton,415267633,3.8,348,23,
273,A Short History Of Nearly Everything,Bill Bryson,076790818X,4.21,248558,9396,
274,A Short History Of World War I,James L. Stokesbury,688001297,3.95,353,43,
275,A Short History Of World War Ii,James L. Stokesbury,688085873,3.95,472,41,
276,A Simple Habana Melody,Oscar Hijuelos,60928697,3.45,330,36,
277,A Single Man,Christopher Isherwood,816638624,4.1,17451,1029,True
278,A Slipping-Down Life,Anne Tyler,345478959,3.61,3335,142,
279,A Small Pinch Of Weather,Joan Aiken,6754899,4.26,122,11,
280,A Smart Girl'S Guide To Money: How To Make It  Save It  And Spend It,Nancy Holyoke/Ali Douglass,1593691033,4.14,536,65,
281,A Son Of The Circus,Irving John,747518459,3.63,139,14,
282,A Song Of Stone,Iain Banks,316640166,3.17,78,10,
283,A Source Book In Indian Philosophy,Sarvepalli Radhakrishnan/Charles Alexander Moore/Kapila/Nandalal Sinha/Kautilya/R. Shamasastry/Manu/Georg Bühler/Patañjali/Rama Prasada/Nāgārjuna/Hermann Oldenberg/Susumu Yamaguchi/Ganganatha Jha/Ramanuja/George Thibaut/Pratap Chandra Ray/Edward J. Thomas,691019584,4.13,148,7,
284,A Sparrow Falls,Wilbur Smith,312940688,4.19,5019,91,
285,A Spiritual Journey,Ram Dass/Richard Alpert,1593976720,4.16,68,4,
286,A Star Called Henry,Roddy Doyle,99284480,3.84,6885,438,True
287,A Stolen Season,Steve Hamilton,031235360X,3.96,1889,137,True
288,A Stranger Came Ashore,Mollie Hunter/Lisa Falkenstern,64400824,3.82,464,49,
289,A Streetcar Named Desire,Tennessee Williams,822210894,3.98,235224,2409,
290,A Stroke Of Midnight,Laurell K. Hamilton,345443608,4.07,28551,442,True
291,A Study Guide To Gabriel Garcia Marquez' One Hundred Years Of Solitude,Gabriel García Márquez/Brenda K. Marshall/F. Murray Abraham,1570421129,4.11,75,2,
292,A Sudden Wild Magic,Diana Wynne Jones,575601973,3.75,104,15,
293,A Summer To Remember,Mary Balogh,440236630,4.08,7791,360,
294,A Supposedly Fun Thing I'Ll Never Do Again:  Essays And Arguments,David Foster Wallace,316925284,4.25,27674,2030,
295,A Supposedly Fun Thing I'Ll Never Do Again: Essays And Arguments,David Foster Wallace,316919896,4.25,722,110,
296,A Tale Of Love And Darkness,Amos Oz/Nicholas de Lange,015603252X,4.22,5325,520,
297,A Tale Of Two Cities,Charles Dickens/Keith Cox/Cynthia Brantley Johnson,743487605,3.84,131,28,
298,A Tale Of Two Cities: Charles Dickens,SparkNotes,158663352X,4,10,1,
299,A Tangled Web,L.M. Montgomery,770422454,3.88,3760,248,
300,A Taste For Death,P.D. James,1400096472,4.02,10304,374,
301,A Tear And A Smile,Kahlil Gibran/جبران خليل جبران/H.M. Nahmad/Robert Hillyer,394448049,4.03,2094,104,
302,A Tempest,Aimé Césaire/Richard Miller,1559362103,3.56,1422,76,
